Date,Team,Acquired,Relinquished,Notes
2024-10-06,Seahawks,,• Uchenna Nwosu,thigh injury (out)
2024-10-06,Steelers,,• Alex Highsmith,groin injury (out)
2024-10-06,Steelers,,• Cordarrelle Patterson,ankle injury (out)
2024-10-06,Steelers,,• Jaylen Warren,knee injury (out)
2024-10-06,Steelers,,• MyCole Pruitt,knee injury (out)
2024-10-06,Steelers,,• Nick Herbig,hamstring injury (out)
2024-10-06,Texans,,• British Brooks,knee injury (out)
2024-10-06,Texans,,• Derek Barnett,shoulder injury (out)
2024-10-06,Texans,,• Jimmie Ward,groin injury (out)
2024-10-06,Texans,,• Joe Mixon,ankle injury (out)
2024-10-06,Texans,,• Nico Collins,hamstring injury (out)
2024-10-06,Vikings,,• Aaron Jones (LaRae),hip injury (out)
2024-10-07,Bengals,,• Daxton Hill / Dax Hill,torn ACL in knee (out for season)
2024-10-07,Bengals,,• Jaxson Kirkland,biceps injury (out for season)
2024-10-07,Buccaneers,,• Cody Thompson,placed on practice squad IR with shoulder injury
2024-10-07,Buccaneers,,• Markees Watts,placed on IR with quadriceps injury
2024-10-07,Cardinals,,• Will Hernandez,knee injury (out for season)
2024-10-07,Colts,,• Will Fries,placed on IR with fractured tibia in leg
2024-10-07,Packers,• Romeo Doubs,,reinstated from suspension
2024-10-07,Panthers,,• Austin Corbett,biceps injury (out for season)
2024-10-07,Saints,,• Cesar Ruiz,knee injury (out)
2024-10-07,Saints,,• Payton Turner,knee injury (out)
2024-10-07,Saints,,• Shane Lemieux,placed on IR with ankle injury
2024-10-07,Saints,,• Taysom Hill,rib injury (out)
2024-10-07,Saints,,• Will Harris (Jamahl),hamstring injury (out)
2024-10-07,Saints,,• Willie Gay Jr.,hand injury (out)
2024-10-07,Browns,• Michael Hall Jr. / Mike Hall Jr.,,reinstated from suspension
2024-10-07,Cardinals,• Zay Jones,,reinstated from suspension
2024-10-07,Browns,• Michael Hall Jr. / Mike Hall Jr.,,activated from reserve/suspended list
2024-10-07,Cardinals,• Zay Jones,,activated from reserve/suspended list
2024-10-08,Bengals,,• Daxton Hill / Dax Hill,placed on IR with torn ACL in knee (out for season)
2024-10-08,Bengals,,• Jaxson Kirkland,placed on IR with biceps injury (out for season)
2024-10-08,Cardinals,,• Will Hernandez,placed on IR with knee injury (out for season)
2024-10-08,Texans,,• British Brooks,placed on IR with knee injury
2024-10-09,,,• Shi Smith,suspended by NFL for 6 games for an undisclosed reason
2024-10-09,,,• Tariq Carpenter,suspended by NFL for 6 games for conduct detrimental to the league
2024-10-09,49ers,,• Talanoa Hufanga,placed on IR with wrist injury
2024-10-09,Browns,,• Charley Hughlett,placed on IR with rib injury
2024-10-09,Cowboys,,• Marshawn Kneeland,placed on IR with knee injury
2024-10-09,Jaguars,,• Devin Duvernay,placed on IR with hamstring injury
2024-10-09,Raiders,,• Christian Wilkins,placed on IR with surgery on foot
2024-10-09,Texans,,• Nico Collins,placed on IR with hamstring injury
2024-10-10,49ers,,• Demetrius Flannigan-Fowles,calf injury (out)
2024-10-10,49ers,,• Jake Moody,right ankle injury (out)
2024-10-10,49ers,,• Jordan Elliott,knee injury (out)
2024-10-10,49ers,,• Malik Mustapha,ankle injury (out)
2024-10-10,Seahawks,,• Byron Murphy II,hamstring injury (out)
2024-10-10,Seahawks,,• Tariq Woolen,ankle injury (out)
2024-10-10,Seahawks,,• Tre Brown,ankle injury (out)
2024-10-10,Seahawks,,• Uchenna Nwosu,placed on IR with thigh injury
2024-10-10,Seahawks,• Cameron Young (Colette),,activated from reserve/physically unable to perform list
2024-10-10,Seahawks,,• Artie Burns,toe injury (out)
2024-10-11,49ers,,• Charvarius Ward,"fined $11,255 by NFL for excessive facemask"
2024-10-11,49ers,,• Dre Greenlaw,"fined $14,069 by NFL for unsportsmanlike conduct"
2024-10-11,Bears,,• Matt Pryor,"fined $6,527 by NFL for fighting"
2024-10-11,Bengals,,• Ja'Marr Chase,"fined $19,697 by NFL for obscene gesture"
2024-10-11,Bengals,,• Trey Hendrickson,"fined $16,883 by NFL for roughing the passer"
2024-10-11,Broncos,,• Michael Burton,"fined $7,653 by NFL for blindside block"
2024-10-11,Buccaneers,,• K.J. Britt,"fined $6,231 by NFL for hit to a defenseless receiver"
2024-10-11,Buccaneers,,• Vita Vea,"fined $14,069 by NFL for obscene gesture"
2024-10-11,Chiefs,,• Tershawn Wharton,"fined $11,817 by NFL for fighting"
2024-10-11,Cowboys,,• Donovan Wilson,"fined $11,255 by NFL for late hit"
2024-10-11,Cowboys,,• Jourdan Lewis,"fined $11,255 by NFL for taunting"
2024-10-11,Dolphins,,• Jalen Ramsey,"fined $16,883 by NFL for roughing the passer"
2024-10-11,Dolphins,,• Malik Washington,"fined $4,694 by NFL for blindside block"
2024-10-11,Falcons,,• J.D. Bertrand,"fined $4,903 by NFL for late hit"
2024-10-11,Falcons,,• James Smith-Williams,"fined $7,180 by NFL for hip-drop tackle"
2024-10-11,Jaguars,,• Andre Cisco,"fined $14,069 by NFL for obscene gesture"
2024-10-11,Jaguars,,• Tank Bigsby,"fined $6,531 by NFL for taunting"
2024-10-11,Packers,,• Luke Musgrave,placed on IR with ankle injury
2024-10-11,Panthers,,• D.J. Johnson (b),"fined $6,948 by NFL for late hit"
2024-10-11,Panthers,,• Jaycee Horn,"fined $11,817 by NFL for fighting"
2024-10-11,Panthers,,• Tommy Tremble,"fined $17,083 by NFL for impermissible use of the helmet"
2024-10-11,Patriots,,• Keion White,"fined $9,836 by NFL for horse collar tackle"
2024-10-11,Patriots,,• Keion White,"fined $9,836 by NFL for roughing the passer"
2024-10-11,Raiders,,• Michael Mayer,placed on reserve/non-football injury list / non-football illness for personal reasons
2024-10-11,Seahawks,,• D.K. Metcalf,"fined $11,255 by NFL for unnecessary roughness"
2024-10-11,Steelers,,• George Pickens,"fined $10,231 by NFL for displaying a personal message"
2024-10-11,Steelers,,• George Pickens,"fined $10,230 by NFL for excessive facemask"
2024-10-11,Texans,,• Dalton Schultz,"fined $11,255 by NFL for taunting"
2024-10-12,Broncos,,• John Franklin-Myers,"fined $14,069 by NFL"
2024-10-12,Broncos,,• Josh Reynolds,placed on IR with surgery on finger
2024-10-12,Broncos,,• Luke Wattenberg,placed on IR with ankle injury
2024-10-12,Broncos,• Audric Estime,,activated from IR
2024-10-12,Browns,,• James Hudson,placed on IR with shoulder injury
2024-10-12,Browns,• Maurice Hurst Jr. / Maurice Hurst II (Roy),,activated from IR
2024-10-12,Browns,• Mohamoud Diabate,,activated from IR
2024-10-12,Cardinals,,• Trey McBride,"fined $9,545 by NFL"
2024-10-12,Chargers,,• Asante Samuel Jr.,placed on IR with shoulder injury
2024-10-12,Chargers,,• Gus Edwards,placed on IR with ankle injury
2024-10-12,Chargers,• Nick Niemann,,activated from IR
2024-10-12,Commanders,• Efe Obada,,activated from reserve/physically unable to perform list
2024-10-12,Falcons,• Nate Landman,,activated from IR
2024-10-12,Giants,,• Kayvon Thibodeaux,placed on IR with fractured wrist
2024-10-12,Jaguars,• Brian Thomas Jr.,,activated from IR
2024-10-12,Panthers,,• Austin Corbett,placed on IR with biceps injury (out for season)
2024-10-12,Patriots,• Sione Takitaki,,activated from reserve/physically unable to perform list
2024-10-12,Raiders,• Trey Taylor,,activated from IR
2024-10-12,Ravens,• Rasheen Ali,,activated from IR
2024-10-12,Saints,,• Will Harris (Jamahl),placed on IR with hamstring injury
2024-10-12,Saints,• Kendre Miller,,activated from IR
2024-10-12,Steelers,,• DeMarvin Leal,placed on IR with neck injury
2024-10-12,Titans,,• Jamal Adams,placed on reserve/non-football injury list with hip injury
2024-10-13,Bears,,• Jaquan Brisker,concussion (out)
2024-10-13,Bears,,• Kyler Gordon,hamstring injury (out)
2024-10-13,Bears,,• Scott Daly,knee injury (out)
2024-10-13,Bears,,• Terell Smith,hip injury (out)
2024-10-13,Bears,,• Zacch Pickens,groin injury (out)
2024-10-13,Broncos,,• Alex Palczewski,ankle injury (out)
2024-10-13,Broncos,,• Patrick Surtain II / Pat Surtain II,concussion (out)
2024-10-13,Browns,,• Ethan Pocic,knee injury (out)
2024-10-13,Browns,,• Grant Delpit,concussion (out)
2024-10-13,Browns,,• Jerome Ford,hamstring injury (out)
2024-10-13,Browns,,• Nick Harris (b),ankle injury (out)
2024-10-13,Browns,,• Nyheim Hines / Nyheim Miller-Hines,knee injury (out)
2024-10-13,Browns,,• Ronnie Hickman Jr.,ankle injury (out)
2024-10-13,Buccaneers,,• Christian Izien,"elbow, groin injuries (out)"
2024-10-13,Buccaneers,,• Graham Barton,hamstring injury (out)
2024-10-13,Buccaneers,,• Jamel Dean,hamstring injury (out)
2024-10-13,Buccaneers,,• Kameron Johnson,ankle injury (out)
2024-10-13,Buccaneers,,• Trey Palmer,concussion (out)
2024-10-13,Cardinals,,• Bilal Nichols,stinger in neck (out)
2024-10-13,Cardinals,,• Marvin Harrison Jr.,concussion (out)
2024-10-13,Cardinals,,• Sean Murphy-Bunting / Sean Bunting,neck injury (out)
2024-10-13,Cardinals,,• Zay Jones,hamstring injury (out)
2024-10-13,Chargers,,• Hayden Hurst,groin injury (out)
2024-10-13,Chargers,,• Ja'Sir Taylor,fibula injury in leg (out)
2024-10-13,Colts,,• Jonathan Taylor,ankle injury (out)
2024-10-13,Colts,,• Ryan Kelly,calf injury (out)
2024-10-13,Commanders,,• Dorance Armstrong Jr.,rib injury (out)
2024-10-13,Commanders,,• Tyler Owens,shin injury (out)
2024-10-13,Cowboys,,• Eric Kendricks,"calf, shoulder injuries (out)"
2024-10-13,Cowboys,,• Micah Parsons,ankle injury (out)
2024-10-13,Eagles,,• Dallas Goedert,hamstring injury (out)
2024-10-13,Eagles,,• Jordan Mailata,hamstring injury (out)
2024-10-13,Falcons,,• Micah Abernathy,knee injury (out)
2024-10-13,Falcons,,• Troy Andersen,knee injury (out)
2024-10-13,Giants,,• Darius Slayton,knee injury (out)
2024-10-13,Giants,,• Malik Nabers,concussion (out)
2024-10-13,Jaguars,,• Tyson Campbell,hamstring injury (out)
2024-10-13,Lions,,• Aidan Hutchinson,fractured lower leg (out)
2024-10-13,Lions,,• Christian Mahogany,illness (out)
2024-10-13,Lions,,• Kyle Peko,pectoral injury (out)
2024-10-13,Packers,,• Devonte Wyatt,ankle injury (out)
2024-10-13,Packers,,• Dontayvion Wicks,shoulder injury (out)
2024-10-13,Panthers,,• Andrew Raym,concussion (out)
2024-10-13,Panthers,,• Josey Jewell,"groin, hamstring injuries (out)"
2024-10-13,Panthers,,• Taylor Moton,elbow injury (out)
2024-10-13,Panthers,,• Tommy Tremble,concussion (out)
2024-10-13,Patriots,,• Rhamondre Stevenson,foot injury (out)
2024-10-13,Patriots,,• Vederian Lowe,ankle injury (out)
2024-10-13,Raiders,,• Davante Adams,hamstring injury (out)
2024-10-13,Raiders,,• Dylan Parham (a),foot injury (out)
2024-10-13,Ravens,,• Arthur Maulet,"hamstring, knee injuries (out)"
2024-10-13,Ravens,,• Broderick Washington Jr.,knee injury (out)
2024-10-13,Ravens,,• Malik Harrison,groin injury (out)
2024-10-13,Saints,,• Cesar Ruiz,knee injury (out)
2024-10-13,Saints,,• Chris Olave,concussion (out)
2024-10-13,Saints,,• Derek Carr (Dallas),oblique injury (out)
2024-10-13,Saints,,• Pete Werner,hamstring injury (out)
2024-10-13,Saints,,• Taysom Hill,rib injury (out)
2024-10-13,Saints,,• Tyrann Mathieu,forearm injury (out)
2024-10-13,Steelers,,• Alex Highsmith,groin injury (out)
2024-10-13,Steelers,,• Cordarrelle Patterson,ankle injury (out)
2024-10-13,Steelers,,• Damontae Kazee,ankle injury (out)
2024-10-13,Steelers,,• DeMarvin Leal,neck injury (out)
2024-10-13,Steelers,,• MyCole Pruitt,knee injury (out)
2024-10-13,Steelers,,• Nick Herbig,hamstring injury (out)
2024-10-13,Steelers,,• Zach Frazier,ankle injury (out)
2024-10-13,Texans,,• Jimmie Ward,groin injury (out)
2024-10-13,Texans,,• Kamari Lassiter,shoulder injury (out)
2024-10-13,Texans,,• Robert Woods (Thomas),foot injury (out)
2024-10-13,Titans,,• Jamal Adams,hip injury (out)
2024-10-13,Titans,,• Keondre Coburn,knee injury (out)
2024-10-13,Washington,,• Jonathan Allen,pectoral injury (out)
2024-10-14,Bills,,• Ed Oliver (b. 1997-12-12),hamstring injury (out)
2024-10-14,Jets,,• Michael Carter II,back injury (out)
2024-10-14,Jets,• Leki Fotu,,activated from IR
2024-10-14,Lions,,• Aidan Hutchinson,surgery on lower leg to repair fracture (out for season)
2024-10-14,Packers,,• T.J. Luther,placed on practice squad IR with undisclosed injury
2024-10-14,Texans,,• Mario Edwards Jr.,suspended by NFL for 4 games for violating the league's substance abuse policy
2024-10-14,Texans,• Denico Autry,,reinstated from suspension
2024-10-14,Texans,,• Mario Edwards Jr.,placed on reserve/suspended list
2024-10-14,Texans,• Denico Autry,,activated from reserve/suspended list
2024-10-15,Browns,,• Nick Harris (b),placed on IR with ankle injury
2024-10-15,Cardinals,,• Bilal Nichols,placed on IR with neck injury
2024-10-15,Cardinals,,• Matt Prater,placed on IR with knee injury
2024-10-15,Chiefs,• Clyde Edwards-Helaire,,activated from non-football injury list
2024-10-15,Falcons,,• Micah Abernathy,placed on IR with knee injury
2024-10-15,Jets,,• Chuck Clark,placed on IR with ankle injury
2024-10-15,Lions,,• Aidan Hutchinson,placed on IR recovering from surgery on lower leg to repair fracture (out for season)
2024-10-15,Lions,,• Kyle Peko,placed on IR with pectoral injury
2024-10-15,Seahawks,,• Artie Burns,placed on IR with toe injury
2024-10-15,Texans,• Kurt Hinish,,activated from IR
2024-10-16,Commanders,,• Javontae Jean-Baptiste,placed on IR with ankle injury
2024-10-16,Giants,,• Andrew Thomas,placed on IR with surgery on foot
2024-10-16,Washington,,• Jonathan Allen,placed on IR with torn pectoral muscle
2024-10-17,Broncos,,• Alex Palczewski,ankle injury (out)
2024-10-17,Broncos,,• Patrick Surtain II / Pat Surtain II,concussion (out)
2024-10-17,Broncos,• Baron Browning,,activated from IR
2024-10-17,Broncos,• Damarri Mathis,,activated from IR
2024-10-17,Broncos,• Mike McGlinchey,,activated from IR
2024-10-17,Saints,,• Cesar Ruiz,knee injury (out)
2024-10-17,Saints,,• Chris Olave,concussion (out)
2024-10-17,Saints,,• Marshon Lattimore,hamstring injury (out)
2024-10-17,Saints,,• Nick Saldiveri,shoulder injury (out)
2024-10-17,Saints,,• Pete Werner,hamstring injury (out)
2024-10-17,Saints,,• Rashid Shaheed,placed on IR with surgery on knee
2024-10-17,Seahawks,,• Rayshawn Jenkins,placed on IR with hand injury
2024-10-18,Bears,,• Chris Williams (b. 1998-06-16),"fined $5,472 by NFL for hip-drop tackle"
2024-10-18,Bills,,• Dion Dawkins,"fined $11,255 by NFL for taunting"
2024-10-18,Bills,,• Taron Johnson,"fined $11,817 by NFL for low block"
2024-10-18,Browns,,• Jeremiah Owusu-Koramoah,"fined $20,900 by NFL for impermissible use of the helmet"
2024-10-18,Browns,,• Michael Dunn,"fined $7,181 by NFL for excessive facemask"
2024-10-18,Cardinals,,• DeeJay Dallas,"fined $11,102 by NFL for horse collar tackle"
2024-10-18,Cardinals,,• Joey Blount,"fined $5,472 by NFL for excessive facemask"
2024-10-18,Colts,,• Ryan Kelly,"fined $11,255 by NFL for excessive facemask"
2024-10-18,Eagles,,• Isaiah Rodgers,"fined $5,861 by NFL for impermissible use of the helmet"
2024-10-18,Eagles,,• Jordan Mailata,placed on IR with hamstring injury
2024-10-18,Eagles,,• Saquon Barkley,"fined $45,020 by NFL for impermissible use of the helmet"
2024-10-18,Falcons,,• Kevin King,"fined $6,250 by NFL for low block"
2024-10-18,Jaguars,,• Antonio Johnson (c),"fined $5,503 by NFL for excessive facemask"
2024-10-18,Jets,,• Javon Kinlaw,"fined $15,944 by NFL for verbally abusing an official"
2024-10-18,Lions,,• Amon-Ra St. Brown,"fined $11,255 by NFL for taunting"
2024-10-18,Packers,,• Jaire Alexander,"fined $11,255 by NFL for excessive facemask"
2024-10-18,Raiders,,• Jack Jones (b. 1997-12-20),"fined $5,472 by NFL for taunting"
2024-10-18,Ravens,,• Qadir Ismail,placed on practice squad IR with undisclosed injury
2024-10-18,Saints,,• Alontae Taylor,"fined $10,916 by NFL for taunting"
2024-10-18,Saints,,• Connor McGovern (b. 1993-04-27),"fined $6,722 by NFL for excessive facemask"
2024-10-18,Seahawks,,• Julian Love,"fined $11,817 by NFL for low block"
2024-10-18,Seahawks,,• Leonard Williams (Austin),"fined $11,255 by NFL for excessive facemask"
2024-10-18,Steelers,,• Anthony Averett,placed on practice squad IR with undisclosed injury
2024-10-18,Texans,,• Mario Edwards Jr.,"fined $9,245 by NFL for excessive facemask"
2024-10-18,Texans,,• Stefon Diggs,"fined $11,255 by NFL for taunting"
2024-10-18,Titans,,• L'Jarius Sneed,"fined $140,969 by NFL for taunting"
2024-10-18,Titans,,• Sebastian Joseph / Sebastian Joseph-Day,"fined $16,883 by NFL for roughing the passer"
2024-10-19,49ers,,• Matthew Wright,"placed on IR with various injuries / back, shoulder injuries"
2024-10-19,49ers,• Ricky Pearsall,,activated from non-football injury list
2024-10-19,Bengals,• D.J. Ivey,,activated from reserve/physically unable to perform list
2024-10-19,Browns,• Juan Thornhill,,activated from IR
2024-10-19,Browns,• Nick Chubb,,activated from physically unable to perform list
2024-10-19,Dolphins,,• Blake Ferguson,placed on non-football injury list for personal reasons
2024-10-19,Eagles,• Sydney Brown,,activated from reserve/physically unable to perform list
2024-10-19,Falcons,,• Lorenzo Carter,placed on IR with concussion
2024-10-19,Jaguars,• Tyson Campbell,,activated from IR
2024-10-19,Panthers,• Dane Jackson,,activated from IR
2024-10-19,Ravens,,• Deonte Harty / Deonte Harris,placed on IR with knee injury
2024-10-19,Titans,,• Treylon Burks,placed on IR with left knee injury
2024-10-20,49ers,,• Deebo Samuel,illness (out)
2024-10-20,49ers,,• Jake Moody,right ankle injury (out)
2024-10-20,49ers,,• Jauan Jennings,hip injury (out)
